itemID,item,item_type,category,choices,uni_lemma,definition English,definition,gloss,complexity_category,scoring_category
item_337,help,word,action_words,understands; produces,help,help,לעזור,help,,
item_338,hit,word,action_words,understands; produces,hit,hit,להכות/ להרביץ,hit,,
item_339,hug,word,action_words,understands; produces,hug,hug,לחבק,hug,,
item_340,hurry,word,action_words,understands; produces,hurry,hurry,למהר,hurry,,
item_341,jump,word,action_words,understands; produces,jump,jump,לקפוץ,jump,,
item_342,kick,word,action_words,understands; produces,kick,kick,לבעוט,kick,,
item_343,kiss,word,action_words,understands; produces,kiss,kiss,לנשק,kiss,,
item_344,look,word,action_words,understands; produces,look,look,להסתכל,look,,
item_345,love,word,action_words,understands; produces,love,love,לאהוב,love,,
item_346,open,word,action_words,understands; produces,open,open,לפתוח,open,,
item_347,play,word,action_words,understands; produces,play,play,לשחק,play,,
item_348,pull,word,action_words,understands; produces,pull,pull,למשוך,pull,,
item_349,push,word,action_words,understands; produces,push,push,לדחוף,push,,
item_350,put,word,action_words,understands; produces,put,put,לשים,put,,
item_351,read,word,action_words,understands; produces,read,read,לקרוא,read,,
item_352,ride,word,action_words,understands; produces,ride,ride,לרכב,ride,,
item_353,run,word,action_words,understands; produces,run,run,לרוץ,run,,
item_354,say,word,action_words,understands; produces,say,say,להגיד,say,,
item_355,see,word,action_words,understands; produces,see,see,לראות/ להראות,see,,
item_356,sing,word,action_words,understands; produces,sing,sing,לשיר,sing,,
item_357,smile,word,action_words,understands; produces,smile,smile,לחייך,smile,,
item_358,splash,word,action_words,understands; produces,splash,splash,להתיז/ להשפריץ,splash,,
item_359,stop,word,action_words,understands; produces,stop,stop,לעצור,stop,,
item_360,swim,word,action_words,understands; produces,swim,swim,לשחות,swim,,
item_361,swing.action,word,action_words,understands; produces,swing (action),swing (action),להתנדנד,swing (action),,
item_362,take,word,action_words,understands; produces,take,take,לקחת,take,,
item_363,throw,word,action_words,understands; produces,throw,throw,לזרוק,throw,,
item_364,tickle,word,action_words,understands; produces,tickle,tickle,לדגדג,tickle,,
item_365,touch,word,action_words,understands; produces,touch,touch,לגעת,touch,,
item_366,wash,word,action_words,understands; produces,wash,wash,לרחוץ/ לשטוף,wash,,
item_367,wipe,word,action_words,understands; produces,wipe,wipe,לנגב,wipe,,
item_368,write,word,action_words,understands; produces,write,write,לכתוב,write,,
item_369,congratulate,word,action_words,understands; produces,congratulate,congratulate,לברך,congratulate,,
item_370,turn_on,word,action_words,understands; produces,turn on,turn on,להדליק,turn on,,
item_371,bring_down,word,action_words,understands; produces,bring down,bring down,להוריד,bring down,,
item_372,hide,word,action_words,understands; produces,hide,hide,להחביא,hide,,
item_373,replace,word,action_words,understands; produces,replace,replace,להחליף,replace,,
item_374,turn_around,word,action_words,understands; produces,turn around,turn around,להסתובב,turn around,,
item_375,look.forsomething,word,action_words,understands; produces,look for something,look for something,לחפש,look for something,,
item_376,shut_down,word,action_words,understands; produces,shut down,shut down,לכבות,shut down,,
item_377,lock,word,action_words,understands; produces,lock,lock,לנעול,lock,,
item_378,comb,word,action_words,understands; produces,comb,comb,לסרק,comb,,
item_379,tell,word,action_words,understands; produces,tell,tell,לספר (סיפור),tell,,
item_380,go_out,word,action_words,understands; produces,go out,go out,לצאת,go out,,
item_381,get_up,word,action_words,understands; produces,get up,get up,לקום,get up,,
item_382,go_down,word,action_words,understands; produces,go down,go down,לרדת,go down,,
item_383,save,word,action_words,understands; produces,save,save,לשמור,save,,
item_384,later,word,time_words,understands; produces,later,later,אחר כך,later,,
item_385,morning,word,time_words,understands; produces,morning,morning,בוקר,morning,,
item_386,night,word,time_words,understands; produces,night,night,לילה,night,,
item_387,now,word,time_words,understands; produces,now,now,עכשיו,now,,
item_388,today,word,time_words,understands; produces,today,today,היום,today,,
item_389,tomorrow,word,time_words,understands; produces,tomorrow,tomorrow,מחר,tomorrow,,
item_390,yesterday,word,time_words,understands; produces,tonight,yesterday,אתמול,yesterday,,
item_391,once,word,time_words,understands; produces,tonight,once,פעם,once,,
item_392,noon,word,time_words,understands; produces,tonight,noon,צהריים,noon,,
item_393,moment,word,time_words,understands; produces,tonight,moment,רגע,moment,,
item_394,sabbath,word,time_words,understands; produces,tonight,sabbath,שבת,sabbath,,
item_395,allgone,word,descriptive_words,understands; produces,all gone,all gone,נגמר,all gone,,
item_396,asleep,word,descriptive_words,understands; produces,asleep,asleep,ישן,asleep,,
item_397,bad,word,descriptive_words,understands; produces,bad,bad,רע,bad,,
item_398,big,word,descriptive_words,understands; produces,big,big,גדול,big,,
item_399,broken,word,descriptive_words,understands; produces,broken,broken,שבור,broken,,
item_400,careful,word,descriptive_words,understands; produces,careful,careful,זהיר,careful,,
item_401,clean.description,word,descriptive_words,understands; produces,clean (description),clean (description),נקי,clean (description),,
item_402,cold,word,descriptive_words,understands; produces,cold,cold,קר,cold,,
item_403,cute,word,descriptive_words,understands; produces,cute,cute,חמוד,cute,,
item_404,dark,word,descriptive_words,understands; produces,dark,dark,חשוך,dark,,
item_405,dirty,word,descriptive_words,understands; produces,dirty,dirty,מלוכלך,dirty,,
item_406,dry,word,descriptive_words,understands; produces,dry (description),dry (description),יבש,dry (description),,
item_407,empty,word,descriptive_words,understands; produces,empty,empty,ריק,empty,,
item_408,fast,word,descriptive_words,understands; produces,fast,fast,מהר,fast,,
item_409,good,word,descriptive_words,understands; produces,good,good,טוב,good,,
item_410,happy,word,descriptive_words,understands; produces,happy,happy,שמח,happy,,
item_411,hard,word,descriptive_words,understands; produces,hard,hard,קשה,hard,,
item_412,hot,word,descriptive_words,understands; produces,hot,hot,חם,hot,,
item_413,hungry,word,descriptive_words,understands; produces,hungry,hungry,רעב,hungry,,
item_414,little,word,descriptive_words,understands; produces,little (description),little (description),קטן,little (description),,
item_415,naughty,word,descriptive_words,understands; produces,naughty,naughty,שובב,naughty,,
item_416,nice,word,descriptive_words,understands; produces,nice,nice,נחמד,nice,,
item_417,old,word,descriptive_words,understands; produces,old,old,זקן,old,,
item_418,pretty,word,descriptive_words,understands; produces,pretty,pretty,יפה,pretty,,
item_419,sick,word,descriptive_words,understands; produces,sick,sick,חולה,sick,,
item_420,soft,word,descriptive_words,understands; produces,soft,soft,רך,soft,,
item_421,thirsty,word,descriptive_words,understands; produces,thirsty,thirsty,צמא,thirsty,,
item_422,tired,word,descriptive_words,understands; produces,tired,tired,עייף,tired,,
item_423,wet,word,descriptive_words,understands; produces,wet,wet,רטוב,wet,,
item_424,yucky,word,descriptive_words,understands; produces,yucky,yucky,מגעיל,yucky,,
item_425,smart,word,descriptive_words,understands; produces,yucky,smart,חכם,smart,,
item_426,tasty,word,descriptive_words,understands; produces,yucky,tasty,טעים,tasty,,
item_427,salty,word,descriptive_words,understands; produces,yucky,salty,מלוח ,salty,,
item_428,rotten,word,descriptive_words,understands; produces,yucky,rotten,מקולקל,rotten,,
item_429,sweet,word,descriptive_words,understands; produces,yucky,sweet,מתוק,sweet,,
item_430,low,word,descriptive_words,understands; produces,yucky,low,נמוך,low,,
item_431,short,word,descriptive_words,understands; produces,yucky,short,קצר,short,,
item_432,thin,word,descriptive_words,understands; produces,yucky,thin,רזה,thin,,
item_433,fat,word,descriptive_words,understands; produces,yucky,fat,שמן,fat,,
item_434,i,word,pronouns,understands; produces,i,I,אני,I,,
item_435,me,word,pronouns,understands; produces,me,me,אותי,me,,
item_436,mine,word,pronouns,understands; produces,mine,mine,שלי,mine,,
item_437,this,word,pronouns,understands; produces,this,this,זה,this,,
item_438,you,word,pronouns,understands; produces,you,you,אתה/ את,you,,
item_439,your,word,pronouns,understands; produces,your,your,שלך,your,,
item_440,he_she,word,pronouns,understands; produces,he/ she,he/ she,הוא/ היא,he/ she,,
item_441,here,word,pronouns,understands; produces,here,here,הנה,here,,
item_442,how,word,question_words,understands; produces,how,how,איך,how,,
item_443,what,word,question_words,understands; produces,what,what,מה,what,,
item_444,when,word,question_words,understands; produces,when,when,מתי,when,,
item_445,where,word,question_words,understands; produces,where,where,איפה,where,,
item_446,who,word,question_words,understands; produces,who,who,מי,who,,
item_447,why,word,question_words,understands; produces,why,why,למה,why,,
item_448,howmany,word,question_words,understands; produces,how many,how many,כמה,how many,,
item_449,what_is_this,word,question_words,understands; produces,what is this,what is this,מה זה,what is this,,
item_450,who_is_this,word,question_words,understands; produces,who is this,who is this,מי זה,who is this,,
item_451,away,word,locations,understands; produces,away,away,רחוק,away,,
item_452,back,word,locations,understands; produces,back,back,אחרי/ מאחורי,back,,
item_453,down,word,locations,understands; produces,down,down,למטה,down,,
item_454,in,word,locations,understands; produces,in,in,בפנים/ בתוך,in,,
item_455,on,word,locations,understands; produces,on,on,על,on,,
item_456,there,word,locations,understands; produces,there,there,שם,there,,
item_457,under,word,locations,understands; produces,under,under,מתחת,under,,
item_458,up,word,locations,understands; produces,up,up,למעלה,up,,
item_459,between,word,locations,understands; produces,between,between,בין,between,,
item_460,armshow,gestures,gestures_first,not yet; sometimes; often,,Extends arm to show you something he/she is holding.,מושיט את היד כדי להראות לך חפץ שהוא מחזיק ביד,Extends arm to show you something he/she is holding.,,gestures_first
item_461,reachout,gestures,gestures_first,not yet; sometimes; often,,Reaches out and gives you a toy or some object that he/she is holding.,מושיט את היד לתת לך צעצוע או חפץ,Reaches out and gives you a toy or some object that he/she is holding.,,gestures_first
item_462,points,gestures,gestures_first,not yet; sometimes; often,,Points (with arm and index finger extended) at some interesting object or event.,מצביע (עם היד והאצבע מתוחות) לעבר חפץ או אירוע מעניין,Points (with arm and index finger extended) at some interesting object or event.,,gestures_first
item_463,waves,gestures,gestures_first,not yet; sometimes; often,,Waves bye-bye on his/her own when someone leaves.,מנופף לשלום בעצמו כאשר מישהו עוזב,Waves bye-bye on his/her own when someone leaves.,,gestures_first
item_464,pickup,gestures,gestures_first,not yet; sometimes; often,,Extends his/her arm upward to signal a wish to be picked up.,מושיט ידיים למעלה כדי לבקש שירימו אותו,Extends his/her arm upward to signal a wish to be picked up.,,gestures_first
item_465,shakhead,gestures,gestures_first,not yet; sometimes; often,,"Shakes head ""no.""","מזיז את הראש או היד מצד לצד כדי לומר ""לא""","Shakes head ""no.""",,gestures_first
item_466,nodhead,gestures,gestures_first,not yet; sometimes; often,,"Nods head ""yes.""","מזיז את הראש למעלה ולמטה כדי לומר ""כן""","Nods head ""yes.""",,gestures_first
item_467,showhush,gestures,gestures_first,not yet; sometimes; often,,"Gestures ""hush"" by placing finger to lips.","מקרב את האצבע לשפתיים כדי לומר ""ששש...""","Gestures ""hush"" by placing finger to lips.",,gestures_first
item_468,request,gestures,gestures_first,not yet; sometimes; often,,Requests something by extending arm and opening and closing hand.,מבקש משהו על ידי פתיחה וסגירה של כף היד,Requests something by extending arm and opening and closing hand.,,gestures_first
item_469,smacklip,gestures,gestures_first,not yet; sometimes; often,,"Smacks lips in a ""yum yum"" gesture to indicate that something tastes good.",מהדק את השפתיים כדי לציין שמשהו טעים,"Smacks lips in a ""yum yum"" gesture to indicate that something tastes good.",,gestures_first
item_470,shrugs,gestures,gestures_first,not yet; sometimes; often,,"Shrugs to indicate ""all gone"" or ""where'd it go.""","מושיט ידיים לצדדים כשמחפש חפץ חסר (""איפה?"")","Shrugs to indicate ""all gone"" or ""where'd it go.""",,gestures_first
item_471,dontwant,gestures,gestures_first,not yet; sometimes; often,,"Shrugs to indicate ""don't want""","מושך בכתפיים להראות ""לא רוצה""","Shrugs to indicate ""don't want""",,
item_472,playpeek,gestures,gestures_games,no; yes,,Play peekaboo.,"משחק ב""קוקו""",Play peekaboo.,,gestures_games
item_473,patycak2,gestures,gestures_games,no; yes,,Play patty cake.,"משחק ב""סבתא בישלה דייסה""",Play patty cake.,,gestures_games
item_474,sobig,gestures,gestures_games,no; yes,,"Play ""so big.""","משחק ב""ידיים למעלה""","Play ""so big.""",,gestures_games
item_475,chase,gestures,gestures_games,no; yes,,Play chasing games.,משחק בתופסת,Play chasing games.,,gestures_games
item_476,dosing,gestures,gestures_games,no; yes,,Sing.,שר,Sing.,,gestures_games
item_477,dodance,gestures,gestures_games,no; yes,,Dance.,רוקד,Dance.,,gestures_games
item_478,eatspoon,gestures,gestures_objects,no; yes,,Eat with spoon or fork.,לאכול עם כפית או מזלג,Eat with spoon or fork.,,gestures_objects
item_479,drinkcup,gestures,gestures_objects,no; yes,,Drink from a cup containing liquid.,לשתות מכוס שיש בה משקה,Drink from a cup containing liquid.,,gestures_objects
item_480,combhair,gestures,gestures_objects,no; yes,,Comb or brush own hair.,להבריש או לסרק את השיער,Comb or brush own hair.,,gestures_objects
item_481,bshteeth,gestures,gestures_objects,no; yes,,Brush teeth.,לצחצח שיניים עם מברשת שיניים,Brush teeth.,,gestures_objects
item_482,wipeface,gestures,gestures_objects,no; yes,,Wipe face or hands with a towel or cloth.,לנגב את הפנים או הידיים באמצעות מגבת,Wipe face or hands with a towel or cloth.,,gestures_objects
item_483,puthat,gestures,gestures_objects,no; yes,,Put on hat.,לחבוש כובע,Put on hat.,,gestures_objects
item_484,putshoe,gestures,gestures_objects,no; yes,,Put on shoe or sock.,לנעול נעליים או לגרוב גרביים,Put on shoe or sock.,,gestures_objects
item_485,putwatch,gestures,gestures_objects,no; yes,,"Put on necklace, bracelet or watch.","לענוד שרשרת, צמיד או שעון","Put on necklace, bracelet or watch.",,gestures_objects
item_486,ptdsleep,gestures,gestures_objects,no; yes,,Lay head on hands and squeeze eyes shut as if sleeping.,מניח את הראש על הידיים ועוצם עיניים כאילו הוא ישן,Lay head on hands and squeeze eyes shut as if sleeping.,,gestures_objects
item_487,blowhot,gestures,gestures_objects,no; yes,,Blow to indicate something is hot.,נושף כדי לסמן שמשהו חם,Blow to indicate something is hot.,,gestures_objects
item_488,flyplane,gestures,gestures_objects,no; yes,,"Hold plane and make it ""fly.""","""להטיס"" מטוס צעצוע","Hold plane and make it ""fly.""",,gestures_objects
item_489,ptndtele,gestures,gestures_objects,no; yes,,Put telephone to ear.,להצמיד את הטלפון לאוזן,Put telephone to ear.,,gestures_objects
item_490,snifflow,gestures,gestures_objects,no; yes,,Sniff flowers.,עושה תנועה של הרחה כשהוא רואה פרחים או תמונות של פרחים,Sniff flowers.,,gestures_objects
item_491,pushcar,gestures,gestures_objects,no; yes,,Push toy car or truck.,להסיע מכונית או משאית צעצוע,Push toy car or truck.,,gestures_objects
item_492,throwges,gestures,gestures_objects,no; yes,,Throw a ball.,משחק בכדור,Throw a ball.,,gestures_objects
item_493,ptndpour,gestures,gestures_objects,no; yes,,Pour pretend liquid from one container to another.,מוזג נוזל דמיוני ממיכל אחד לאחר,Pour pretend liquid from one container to another.,,gestures_objects
item_494,ptndstir,gestures,gestures_objects,no; yes,,Stir pretend liquid in a cup or pan with a spoon.,מערבב נוזל דמיוני בכוס או סיר עם כף,Stir pretend liquid in a cup or pan with a spoon.,,gestures_objects
item_495,putobed,gestures,gestures_parent,no; yes,,Put to bed.,משכיב בובה או דובי לישון,Put to bed.,,gestures_parent
item_496,cover,gestures,gestures_parent,no; yes,,Cover with blanket.,מכסה בובה או דובי בשמיכה,Cover with blanket.,,gestures_parent
item_497,feedbotl,gestures,gestures_parent,no; yes,,Feed with bottle.,מאכיל בובה או דובי מבקבוק,Feed with bottle.,,gestures_parent
item_498,feedspon,gestures,gestures_parent,no; yes,,Feed with spoon.,מאכיל בובה או דובי עם כפית,Feed with spoon.,,gestures_parent
item_499,brushit,gestures,gestures_parent,no; yes,,Brush/comb its hair.,מסרק את השיער של הבובה או הדובי,Brush/comb its hair.,,gestures_parent
item_500,burpit,gestures,gestures_parent,no; yes,,Pat or burp it.,מלטף או טופח על גב הבובה או הדובי,Pat or burp it.,,gestures_parent
item_501,pushit,gestures,gestures_parent,no; yes,,Push in stroller/buggy.,דוחף בובה או דובי בעגלה,Push in stroller/buggy.,,gestures_parent
item_502,rockit,gestures,gestures_parent,no; yes,,Rock it.,מנדנד את הבובה או את הדובי,Rock it.,,gestures_parent
item_503,kissit,gestures,gestures_parent,no; yes,,Kiss or hug it.,מנשק או מחבק את הבובה או הדובי,Kiss or hug it.,,gestures_parent
item_504,dressit,gestures,gestures_parent,no; yes,,Try to put shoe or sock or hat on it.,"מנסה לנעול נעל, לגרוב גרב או לחבוש כובע לבובה או לדובי",Try to put shoe or sock or hat on it.,,gestures_parent
item_505,wipeit,gestures,gestures_parent,no; yes,,Wipe its face or hands.,מנגב את הפנים או הידיים של הבובה או הדובי,Wipe its face or hands.,,gestures_parent
item_506,talkit,gestures,gestures_parent,no; yes,,Talk to it.,מדבר אל הבובה או הדובי,Talk to it.,,gestures_parent
item_507,diaperit,gestures,gestures_parent,no; yes,,Try to put diaper on it.,מנסה לחתל את הבובה או את הדובי,Try to put diaper on it.,,gestures_parent
item_508,givedrink,gestures,gestures_parent,no; yes,,Prepares drink and give to it.,מכין שתייה לבובה או לדובי,Prepares drink and give to it.,,
item_509,givefood,gestures,gestures_parent,no; yes,,Arranges dishes and gives it pretend food.,מסדר כלי אוכל ונותן לבובה או לדובי לאכול,Arranges dishes and gives it pretend food.,,
item_510,driveit,gestures,gestures_parent,no; yes,,Puts it in a small car and drives it.,מכניס בובה קטנה למכונית ומסיע אותה,Puts it in a small car and drives it.,,
item_511,doccheck,gestures,gestures_parent,no; yes,,Tries to check it with a toy doctor’s kit.,מנסה לבדוק בובה או דובי עם כלי רופא מפלסטיק,Tries to check it with a toy doctor’s kit.,,
item_512,sweep,gestures,gestures_adult,no; yes,,Sweep with broom or mop.,לטאטא את הריצפה,Sweep with broom or mop.,,gestures_adult
item_513,putkey,gestures,gestures_adult,no; yes,,Put key in door or lock.,לשים מפתח במנעול הדלת או לנעול את הדלת,Put key in door or lock.,,gestures_adult
item_514,pound,gestures,gestures_adult,no; yes,,Pound with hammer or mallet.,לדפוק עם פטיש,Pound with hammer or mallet.,,gestures_adult
item_515,usesaw,gestures,gestures_adult,no; yes,,Attempt to use saw.,מנסה להשתמש במסור צעצוע,Attempt to use saw.,,gestures_adult
item_516,type,gestures,gestures_adult,no; yes,,"""Type"" at typewriter or computer keyboard.","""להקליד"" על מקלדת מחשב","""Type"" at typewriter or computer keyboard.",,gestures_adult
item_517,ptndread,gestures,gestures_adult,no; yes,,"""Read"" (opens book, turns page).","לפתוח ספר ולדפדף (""לקרוא"")","""Read"" (opens book, turns page).",,gestures_adult
item_518,playmus,gestures,gestures_adult,no; yes,,"Play musical instrument (e.g., piano, trumpet).","לנגן בכלי נגינה (למשל, פסנתר או חצוצרה)","Play musical instrument (e.g., piano, trumpet).",,gestures_adult
item_519,ptnddriv,gestures,gestures_adult,no; yes,,"""Drive"" car by turning steering wheel.",מסובב הגה צעצוע או מכסה של סיר כדי להראות שהוא נוהג ברכב,"""Drive"" car by turning steering wheel.",,gestures_adult
item_520,usecloth,gestures,gestures_adult,no; yes,,Clean with cloth or duster.,לנקות עם מטלית,Clean with cloth or duster.,,gestures_adult
item_521,usepen,gestures,gestures_adult,no; yes,,Write with pen or pencil or marker.,"לכתוב עם עט, עפרון או טוש",Write with pen or pencil or marker.,,gestures_adult
item_522,wearglas,gestures,gestures_adult,no; yes,,Put on glasses.,להרכיב משקפיים,Put on glasses.,,gestures_adult
item_761,complx01,gestures,gestures_adult,one; two; three; four,two shoe <br/> two shoes <br/> Three Shoes <br/> Four shoees,1. two shoe <br/> 2. two shoes <br/> 3. Three Shoes <br/> 4. Four shoees,This is my question and then a line break <br/> 1. two shoe <br/> 2. two shoes <br/> 3. Three Shoes <br/> 4. Four shoees,,,
